RecordID,Hour,DayOfWeek,DayOfMonth,Consumption
76345,6.0,5.0,1.0,0.916
76374,10.0,5.0,1.0,0.972
76403,15.0,5.0,1.0,0.878
76432,19.0,5.0,1.0,1.902
76461,11.0,5.0,1.0,0.9
76490,14.0,5.0,1.0,0.928
76512,23.0,5.0,1.0,0.994
76548,1.0,5.0,1.0,1.85
76577,10.0,5.0,1.0,0.896
76606,6.0,5.0,1.0,0.964
76635,15.0,5.0,1.0,0.906
76664,12.0,5.0,1.0,0.904
76693,22.0,5.0,1.0,0.904
76722,7.0,5.0,1.0,1.02
76751,2.0,5.0,1.0,1.092
76780,0.0,5.0,1.0,0.904
76809,3.0,5.0,1.0,0.92
76838,20.0,5.0,1.0,0.884
76867,16.0,5.0,1.0,0.876
76896,12.0,5.0,1.0,0.976
76925,3.0,5.0,1.0,0.924
76954,1.0,5.0,1.0,0.904
76983,11.0,5.0,1.0,1.09
77012,23.0,5.0,1.0,0.964
77041,10.0,5.0,1.0,0.942
77070,2.0,5.0,1.0,1.878
77099,20.0,5.0,1.0,0.892
77128,14.0,5.0,1.0,0.972
77157,9.0,5.0,1.0,0.918
77186,5.0,5.0,1.0,0.9
77215,14.0,5.0,1.0,0.9
77244,18.0,5.0,1.0,0.87
77273,22.0,5.0,1.0,0.964
77302,4.0,5.0,1.0,0.944
77331,8.0,5.0,1.0,0.946
77360,13.0,5.0,1.0,1.052
77389,22.0,5.0,1.0,1.052
77418,7.0,5.0,1.0,0.92
77447,3.0,5.0,1.0,0.944
77476,0.0,5.0,1.0,1.03
77505,20.0,5.0,1.0,0.94
77534,15.0,5.0,1.0,0.978
77563,17.0,5.0,1.0,0.922
77592,21.0,5.0,1.0,0.92
77621,13.0,5.0,1.0,0.956
77650,5.0,5.0,1.0,0.93
77679,8.0,5.0,1.0,1.962
77708,16.0,5.0,1.0,0.936
77737,21.0,5.0,1.0,0.976
77766,6.0,5.0,1.0,0.928
77795,19.0,5.0,1.0,0.932
77824,13.0,5.0,1.0,0.964
77853,9.0,5.0,1.0,1.88
77882,5.0,5.0,1.0,1.098
77911,18.0,5.0,1.0,1.98
77940,23.0,5.0,1.0,0.93
77969,4.0,5.0,1.0,0.896
77998,8.0,5.0,1.0,0.92
78027,17.0,5.0,1.0,1.05
82844,5.0,6.0,2.0,0.962
82873,1.0,6.0,2.0,0.872
82902,12.0,6.0,2.0,2.914
82931,15.0,6.0,2.0,3.688
82960,13.0,6.0,2.0,6.33
82989,2.0,6.0,2.0,0.94
83018,10.0,6.0,2.0,5.948
83047,7.0,6.0,2.0,0.92
83076,13.0,6.0,2.0,2.824
83105,17.0,6.0,2.0,9.778
83134,6.0,6.0,2.0,1.002
83163,14.0,6.0,2.0,5.754
83192,17.0,6.0,2.0,4.9
83221,10.0,6.0,2.0,4.534
83250,7.0,6.0,2.0,1.03
83279,3.0,6.0,2.0,1.124
83308,3.0,6.0,2.0,0.89
83337,11.0,6.0,2.0,5.314
83366,23.0,6.0,2.0,1.172
83395,23.0,6.0,2.0,14.95
83424,16.0,6.0,2.0,3.238
83453,22.0,6.0,2.0,16.92
83482,4.0,6.0,2.0,0.93
83511,8.0,6.0,2.0,17.884
83540,18.0,6.0,2.0,4.718
83569,1.0,6.0,2.0,0.98
83598,9.0,6.0,2.0,27.108
83627,9.0,6.0,2.0,6.612
83656,6.0,6.0,2.0,0.936
83685,16.0,6.0,2.0,3.336
83714,2.0,6.0,2.0,0.948
83754,18.0,6.0,2.0,4.934
83783,11.0,6.0,2.0,4.652
83812,15.0,6.0,2.0,3.086
83841,19.0,6.0,2.0,7.482
83870,20.0,6.0,2.0,11.704
83888,19.0,6.0,2.0,6.18
83917,14.0,6.0,2.0,1.856
83946,0.0,6.0,2.0,0.928
83975,7.0,6.0,2.0,9.862
84004,2.0,6.0,2.0,0.908
84033,16.0,6.0,2.0,3.56
84062,15.0,6.0,2.0,2.366
84091,12.0,6.0,2.0,7.676
84120,4.0,6.0,2.0,1.82
84149,0.0,6.0,2.0,0.906
84178,18.0,6.0,2.0,5.004
84207,5.0,6.0,2.0,1.93
84236,0.0,6.0,2.0,0.994
84265,21.0,6.0,2.0,5.738
84294,21.0,6.0,2.0,8.618
84323,21.0,6.0,2.0,6.434
84352,20.0,6.0,2.0,5.234
84381,6.0,6.0,2.0,0.954
84410,1.0,6.0,2.0,0.968
84439,10.0,6.0,2.0,5.2
78107,19.0,0.0,3.0,5.3
78136,14.0,0.0,3.0,3.844
78165,23.0,0.0,3.0,5.712
78194,17.0,0.0,3.0,3.588
78223,21.0,0.0,3.0,12.324
78252,16.0,0.0,3.0,6.144
78281,19.0,0.0,3.0,5.622
78310,23.0,0.0,3.0,5.3
78339,16.0,0.0,3.0,3.54
78368,10.0,0.0,3.0,9.792
78397,9.0,0.0,3.0,11.068
78426,8.0,0.0,3.0,9.94
78455,10.0,0.0,3.0,8.698
78484,11.0,0.0,3.0,7.328
78513,18.0,0.0,3.0,5.614
78542,17.0,0.0,3.0,5.028
78565,2.0,0.0,3.0,1.564
78594,3.0,0.0,3.0,1.536
78623,2.0,0.0,3.0,1.382
78652,4.0,0.0,3.0,1.324
78681,4.0,0.0,3.0,1.372
78710,18.0,0.0,3.0,5.23
78739,22.0,0.0,3.0,6.522
78768,5.0,0.0,3.0,1.368
78797,5.0,0.0,3.0,1.688
78826,6.0,0.0,3.0,1.776
78855,8.0,0.0,3.0,8.18
78884,7.0,0.0,3.0,4.638
78913,6.0,0.0,3.0,1.714
78942,21.0,0.0,3.0,6.268
78971,15.0,0.0,3.0,2.586
79000,22.0,0.0,3.0,6.594
79029,18.0,0.0,3.0,4.216
79058,15.0,0.0,3.0,3.01
79087,22.0,0.0,3.0,6.088
79116,12.0,0.0,3.0,6.68
79145,12.0,0.0,3.0,5.896
79174,13.0,0.0,3.0,5.578
79203,14.0,0.0,3.0,5.604
79232,15.0,0.0,3.0,2.556
79261,19.0,0.0,3.0,5.606
79290,23.0,0.0,3.0,6.068
79319,17.0,0.0,3.0,4.744
79348,20.0,0.0,3.0,12.604
79383,1.0,0.0,3.0,1.414
79412,1.0,0.0,3.0,1.332
79441,0.0,0.0,3.0,1.4
79470,0.0,0.0,3.0,1.186
83546,13.0,1.0,4.0,3.066
83575,10.0,1.0,4.0,12.024
83604,5.0,1.0,4.0,0.898
83633,1.0,1.0,4.0,0.908
83662,20.0,1.0,4.0,2.454
83691,3.0,1.0,4.0,0.934
83720,22.0,1.0,4.0,7.056
83749,19.0,1.0,4.0,4.664
83778,7.0,1.0,4.0,5.89
83807,11.0,1.0,4.0,4.488
83836,4.0,1.0,4.0,0.99
83865,8.0,1.0,4.0,6.606
83894,0.0,1.0,4.0,0.924
83923,12.0,1.0,4.0,3.894
83952,15.0,1.0,4.0,2.226
83981,23.0,1.0,4.0,7.384
84010,7.0,1.0,4.0,7.206
84039,14.0,1.0,4.0,1.236
84068,18.0,1.0,4.0,2.208
84097,5.0,1.0,4.0,0.89
84126,1.0,1.0,4.0,0.964
84155,12.0,1.0,4.0,3.516
84184,16.0,1.0,4.0,2.152
84213,14.0,1.0,4.0,1.788
84242,10.0,1.0,4.0,4.37
84271,18.0,1.0,4.0,2.328
84300,22.0,1.0,4.0,15.97
84329,21.0,1.0,4.0,2.52
84358,2.0,1.0,4.0,0.924
84387,6.0,1.0,4.0,0.994
84416,6.0,1.0,4.0,0.994
84445,17.0,1.0,4.0,2.194
84474,5.0,1.0,4.0,0.88
84503,0.0,1.0,4.0,0.9
84532,21.0,1.0,4.0,3.946
84561,17.0,1.0,4.0,2.224
84590,13.0,1.0,4.0,3.608
84619,8.0,1.0,4.0,4.454
84648,3.0,1.0,4.0,0.904
84677,20.0,1.0,4.0,2.31
84706,2.0,1.0,4.0,0.922
84735,19.0,1.0,4.0,2.612
84764,15.0,1.0,4.0,4.944
84793,16.0,1.0,4.0,2.11
84822,9.0,1.0,4.0,8.328
84851,0.0,1.0,4.0,0.924
84880,20.0,1.0,4.0,2.428
84909,22.0,1.0,4.0,8.014
84938,19.0,1.0,4.0,2.216
84967,16.0,1.0,4.0,2.094
84996,12.0,1.0,4.0,4.364
85025,4.0,1.0,4.0,1.854
85054,15.0,1.0,4.0,5.822
85083,8.0,1.0,4.0,8.33
85112,11.0,1.0,4.0,4.712
85141,4.0,1.0,4.0,0.95
85170,13.0,1.0,4.0,3.496
85180,17.0,1.0,4.0,2.11
85228,10.0,1.0,4.0,5.66
85257,1.0,1.0,4.0,1.008
85286,6.0,1.0,4.0,1.914
85315,11.0,1.0,4.0,4.762
85344,2.0,1.0,4.0,0.924
85373,23.0,1.0,4.0,7.636
83486,9.0,2.0,5.0,9.348
83515,5.0,2.0,5.0,0.88
83544,13.0,2.0,5.0,6.236
83573,11.0,2.0,5.0,7.128
83602,19.0,2.0,5.0,9.162
83631,9.0,2.0,5.0,8.282
83660,2.0,2.0,5.0,0.914
83689,13.0,2.0,5.0,5.836
83718,17.0,2.0,5.0,5.988
83747,21.0,2.0,5.0,18.236
83776,10.0,2.0,5.0,8.144
83805,18.0,2.0,5.0,14.78
83834,6.0,2.0,5.0,0.952
83863,2.0,2.0,5.0,0.994
83892,22.0,2.0,5.0,9.046
83921,22.0,2.0,5.0,9.046
83950,8.0,2.0,5.0,7.898
83979,3.0,2.0,5.0,0.926
84008,12.0,2.0,5.0,7.156
84037,15.0,2.0,5.0,5.23
84066,12.0,2.0,5.0,6.73
84095,16.0,2.0,5.0,5.214
84124,20.0,2.0,5.0,8.552
84153,4.0,2.0,5.0,0.93
84182,1.0,2.0,5.0,0.882
84211,7.0,2.0,5.0,7.228
84240,3.0,2.0,5.0,0.912
84269,15.0,2.0,5.0,5.586
84298,22.0,2.0,5.0,8.992
84327,0.0,2.0,5.0,3.562
84356,4.0,2.0,5.0,0.912
84385,12.0,2.0,5.0,6.158
84414,20.0,2.0,5.0,8.484
84443,19.0,2.0,5.0,4.656
84472,22.0,2.0,5.0,9.316
84501,14.0,2.0,5.0,11.89
84530,7.0,2.0,5.0,3.946
84559,11.0,2.0,5.0,6.134
84588,3.0,2.0,5.0,0.926
84617,7.0,2.0,5.0,0.942
84646,11.0,2.0,5.0,7.402
84675,2.0,2.0,5.0,0.966
84704,18.0,2.0,5.0,5.542
84733,23.0,2.0,5.0,9.12
84762,23.0,2.0,5.0,8.886
84791,16.0,2.0,5.0,5.936
84820,4.0,2.0,5.0,0.91
84849,14.0,2.0,5.0,5.858
84878,17.0,2.0,5.0,7.338
84907,10.0,2.0,5.0,8.054
84936,6.0,2.0,5.0,1.0
84965,1.0,2.0,5.0,0.976
84994,21.0,2.0,5.0,8.554
85023,6.0,2.0,5.0,0.88
85052,1.0,2.0,5.0,0.922
85081,5.0,2.0,5.0,0.884
85110,9.0,2.0,5.0,9.588
85139,15.0,2.0,5.0,5.64
85168,19.0,2.0,5.0,9.75
85197,8.0,2.0,5.0,19.178
85226,0.0,2.0,5.0,0.976
85255,5.0,2.0,5.0,1.014
85284,0.0,2.0,5.0,0.936
85313,13.0,2.0,5.0,6.844
85342,16.0,2.0,5.0,6.07
85371,20.0,2.0,5.0,9.272
85263,6.0,3.0,6.0,0.966
85292,1.0,3.0,6.0,0.904
85321,10.0,3.0,6.0,9.134
85350,13.0,3.0,6.0,7.5
85379,16.0,3.0,6.0,6.898
85408,17.0,3.0,6.0,8.248
85437,14.0,3.0,6.0,5.114
85466,0.0,3.0,6.0,1.022
85495,5.0,3.0,6.0,0.896
